frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
4,0,sit,0.97403955,163.000000,7.000000,434.000000,446.000000,
4,0,talk to ...,0.53955054,163.000000,7.000000,434.000000,446.000000,
5,0,sit,0.97403955,163.000000,7.000000,434.000000,446.000000,
5,0,talk to ...,0.53955054,163.000000,7.000000,434.000000,446.000000,
8,0,sit,0.97385675,149.000000,14.000000,481.000000,460.000000,
8,0,talk to ...,0.59790725,149.000000,14.000000,481.000000,460.000000,
9,0,sit,0.97385675,149.000000,14.000000,481.000000,460.000000,
9,0,talk to ...,0.59790725,149.000000,14.000000,481.000000,460.000000,
10,0,sit,0.97864425,157.000000,14.000000,458.000000,461.000000,
11,0,sit,0.97864425,157.000000,14.000000,458.000000,461.000000,
14,0,sit,0.9829289,164.000000,13.000000,454.000000,458.000000,
15,0,sit,0.9829289,164.000000,13.000000,454.000000,458.000000,
16,0,sit,0.9919195,162.000000,11.000000,474.000000,451.000000,
16,0,talk to ...,0.53947365,162.000000,11.000000,474.000000,451.000000,
17,0,sit,0.9919195,162.000000,11.000000,474.000000,451.000000,
17,0,talk to ...,0.53947365,162.000000,11.000000,474.000000,451.000000,
18,0,sit,0.98090935,162.000000,6.000000,458.000000,439.000000,
19,0,sit,0.98090935,162.000000,6.000000,458.000000,439.000000,
22,0,sit,0.98843586,153.000000,15.000000,436.000000,417.000000,
23,0,sit,0.98843586,153.000000,15.000000,436.000000,417.000000,
24,0,sit,0.98856175,157.000000,22.000000,459.000000,458.000000,
25,0,sit,0.98856175,157.000000,22.000000,459.000000,458.000000,
26,0,sit,0.9884184,144.000000,18.000000,418.000000,451.000000,
27,0,sit,0.9884184,144.000000,18.000000,418.000000,451.000000,
28,0,sit,0.987275,146.000000,24.000000,484.000000,455.000000,
28,0,carry/hold ...,0.5072009,146.000000,24.000000,484.000000,455.000000,
29,0,sit,0.987275,146.000000,24.000000,484.000000,455.000000,
29,0,carry/hold ...,0.5072009,146.000000,24.000000,484.000000,455.000000,
30,0,sit,0.98095405,130.000000,25.000000,494.000000,472.000000,
31,0,sit,0.98095405,130.000000,25.000000,494.000000,472.000000,
32,0,sit,0.96979886,120.000000,16.000000,507.000000,476.000000,
32,0,carry/hold ...,0.500863,120.000000,16.000000,507.000000,476.000000,
33,0,sit,0.96979886,120.000000,16.000000,507.000000,476.000000,
33,0,carry/hold ...,0.500863,120.000000,16.000000,507.000000,476.000000,
34,0,sit,0.98538315,141.000000,13.000000,468.000000,476.000000,
35,0,sit,0.98538315,141.000000,13.000000,468.000000,476.000000,
36,0,sit,0.9870415,139.000000,13.000000,476.000000,469.000000,
37,0,sit,0.9870415,139.000000,13.000000,476.000000,469.000000,
38,0,sit,0.99125963,122.000000,16.000000,444.000000,478.000000,
39,0,sit,0.99125963,122.000000,16.000000,444.000000,478.000000,
40,0,sit,0.99185526,139.000000,5.000000,468.000000,474.000000,
41,0,sit,0.99185526,139.000000,5.000000,468.000000,474.000000,
48,0,sit,0.9866959,154.000000,18.000000,445.000000,444.000000,
49,0,sit,0.9866959,154.000000,18.000000,445.000000,444.000000,
